timestamp,T2M,RH2M,WS10M,WD10M,PRECTOTCORR,PS,T2MDEW
2019-06-25 00:00:00,32.21,59.94,3.12,93.7,0.0,97.89,23.47
2019-06-25 01:00:00,31.79,61.73,2.74,96.1,0.0,97.88,23.57
2019-06-25 02:00:00,31.42,63.44,2.2,96.3,0.0,97.87,23.66
2019-06-25 03:00:00,31.1,64.94,1.57,92.9,0.0,97.87,23.75
2019-06-25 04:00:00,30.81,66.31,0.95,85.2,0.01,97.89,23.82
2019-06-25 05:00:00,31.14,64.93,0.98,91.2,0.01,97.93,23.79
2019-06-25 06:00:00,32.84,56.38,0.92,208.0,0.09,97.96,23.04
2019-06-25 07:00:00,34.24,49.9,1.49,250.0,0.12,98.0,22.32
2019-06-25 08:00:00,35.78,44.28,1.66,266.6,0.0,98.0,21.75
2019-06-25 09:00:00,37.36,39.69,1.7,279.5,0.0,97.98,21.39
2019-06-25 10:00:00,38.79,36.15,1.82,287.9,0.0,97.92,21.11
2019-06-25 11:00:00,40.07,33.17,1.94,292.7,0.0,97.84,20.82
2019-06-25 12:00:00,40.98,31.08,2.09,294.4,0.0,97.74,20.55
2019-06-25 13:00:00,41.47,29.74,2.27,294.0,0.0,97.66,20.26
2019-06-25 14:00:00,41.6,29.06,2.43,292.0,0.0,97.6,19.99
2019-06-25 15:00:00,41.12,29.43,2.64,291.1,0.0,97.55,19.79
2019-06-25 16:00:00,40.46,30.35,2.81,291.3,0.0,97.51,19.72
2019-06-25 17:00:00,39.56,31.8,2.9,292.8,0.0,97.51,19.71
2019-06-25 18:00:00,38.14,35.21,2.22,295.3,0.0,97.55,20.12
2019-06-25 19:00:00,36.9,38.82,1.81,300.1,0.0,97.61,20.62
2019-06-25 20:00:00,36.29,39.78,2.0,301.9,0.0,97.67,20.47
2019-06-25 21:00:00,35.69,40.97,2.08,303.2,0.0,97.73,20.41
2019-06-25 22:00:00,35.15,42.14,2.05,304.9,0.0,97.75,20.39
2019-06-25 23:00:00,34.7,43.2,1.94,306.0,0.0,97.75,20.38
2019-06-26 00:00:00,34.25,44.25,1.77,306.3,0.0,97.72,20.36
2019-06-26 01:00:00,33.82,45.2,1.62,305.9,0.0,97.7,20.32
2019-06-26 02:00:00,33.43,46.21,1.65,305.9,0.0,97.67,20.33
2019-06-26 03:00:00,33.08,47.21,1.82,307.9,0.0,97.66,20.36
2019-06-26 04:00:00,32.71,48.36,1.99,309.9,0.0,97.67,20.41
2019-06-26 05:00:00,33.34,46.81,3.04,310.9,0.0,97.69,20.46
2019-06-26 06:00:00,35.39,42.24,3.87,301.6,0.0,97.72,20.64
2019-06-26 07:00:00,37.23,38.39,4.25,293.4,0.0,97.74,20.72
2019-06-26 08:00:00,38.84,35.08,4.35,293.3,0.02,97.74,20.68
2019-06-26 09:00:00,40.33,32.1,4.38,296.7,0.01,97.72,20.53
2019-06-26 10:00:00,41.74,29.2,4.43,301.3,0.0,97.66,20.2
2019-06-26 11:00:00,42.83,26.79,4.54,306.0,0.0,97.58,19.73
2019-06-26 12:00:00,43.7,24.66,4.69,310.6,0.0,97.47,19.13
2019-06-26 13:00:00,44.26,22.8,4.9,314.1,0.0,97.37,18.33
2019-06-26 14:00:00,44.26,21.39,5.2,315.6,0.0,97.29,17.32
2019-06-26 15:00:00,43.88,20.41,5.57,316.0,0.0,97.23,16.28
2019-06-26 16:00:00,43.01,20.27,5.89,315.6,0.0,97.21,15.47
2019-06-26 17:00:00,41.67,21.11,5.88,314.9,0.0,97.22,15.0
2019-06-26 18:00:00,39.3,24.22,4.02,313.9,0.0,97.28,15.18
2019-06-26 19:00:00,37.18,27.86,3.15,312.6,0.0,97.35,15.58
2019-06-26 20:00:00,36.13,29.89,2.97,310.5,0.0,97.43,15.77
2019-06-26 21:00:00,35.14,32.07,2.78,306.2,0.0,97.49,16.02
2019-06-26 22:00:00,34.28,33.99,2.68,299.5,0.0,97.51,16.19
2019-06-26 23:00:00,33.5,35.71,2.64,291.8,0.0,97.51,16.28
2019-06-27 00:00:00,32.82,37.27,2.64,283.6,0.0,97.49,16.35
2019-06-27 01:00:00,32.26,38.77,2.67,275.4,0.0,97.45,16.48
2019-06-27 02:00:00,31.82,40.03,2.69,271.7,0.0,97.41,16.6
2019-06-27 03:00:00,31.47,40.96,2.69,272.3,0.0,97.4,16.64
2019-06-27 04:00:00,31.19,41.69,2.7,275.1,0.0,97.4,16.67
